product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Product_0001,Books,321.52,131.82,2006,67
2,Product_0002,Home,74.07,32.66,4837,118
3,Product_0003,Sports,20.73,9.07,4139,164
4,Product_0004,Grocery,18.14,8.7,1805,124
5,Product_0005,Electronics,296.69,214.74,1307,188
6,Product_0006,Sports,214.19,109.48,2757,36
7,Product_0007,Toys,50.91,22.33,4945,77
8,Product_0008,Home,404.53,279.89,3100,30
9,Product_0009,Toys,278.26,203.62,4729,59
10,Product_0010,Sports,353.76,147.99,2370,30
11,Product_0011,Grocery,428.38,319.83,2277,126
12,Product_0012,Toys,319.66,174.51,2910,63
13,Product_0013,Home,336.74,229.23,4990,172
14,Product_0014,Beauty,89.71,62.05,3786,107
15,Product_0015,Sports,138.62,106.76,2656,24
16,Product_0016,Toys,118.38,48.87,3286,78
17,Product_0017,Toys,37.76,28.9,1741,177
18,Product_0018,Clothing,252.12,190.07,1170,77
19,Product_0019,Books,74.12,51.74,4788,119
20,Product_0020,Sports,449.42,251.57,1133,140
21,Product_0021,Home,249.29,175.08,1252,170
22,Product_0022,Home,84.19,56.59,3152,107
23,Product_0023,Books,299.96,176.14,4532,12
24,Product_0024,Books,341.74,152.35,2786,38
25,Product_0025,Electronics,150.28,69.62,2157,138
26,Product_0026,Home,382.17,230.48,2444,173
27,Product_0027,Toys,256.29,122.91,1323,148
28,Product_0028,Electronics,476.98,366.79,4906,92
29,Product_0029,Toys,246.86,109.79,2519,71
30,Product_0030,Home,33.67,25.29,701,197
31,Product_0031,Beauty,245.57,105.03,1051,178
32,Product_0032,Books,240.26,148.94,4322,165
33,Product_0033,Sports,214.45,103.95,2553,112
34,Product_0034,Clothing,497.6,328.39,4239,125
35,Product_0035,Toys,64.9,31.79,172,160
36,Product_0036,Electronics,279.19,177.39,581,191
37,Product_0037,Electronics,317.4,156.03,2706,28
38,Product_0038,Clothing,259.51,132.71,1755,148
39,Product_0039,Clothing,70.49,54.57,1990,131
40,Product_0040,Home,404.71,192.71,3531,100
41,Product_0041,Electronics,214.67,125.97,806,25
42,Product_0042,Home,204.3,109.45,2036,59
43,Product_0043,Grocery,99.15,57.45,1503,81
44,Product_0044,Home,234.0,175.45,3630,150
45,Product_0045,Electronics,53.46,35.33,764,70
46,Product_0046,Sports,87.32,51.89,3285,25
47,Product_0047,Grocery,86.5,34.67,2172,126
48,Product_0048,Clothing,146.2,99.22,1268,58
49,Product_0049,Electronics,151.87,119.6,2569,24
50,Product_0050,Beauty,29.82,17.62,465,140
51,Product_0051,Home,44.66,21.18,1926,113
52,Product_0052,Sports,64.34,48.65,4742,162
53,Product_0053,Toys,24.67,10.68,2136,62
54,Product_0054,Books,336.51,176.89,3242,43
55,Product_0055,Toys,337.49,175.49,594,12
56,Product_0056,Home,231.85,185.34,600,147
57,Product_0057,Toys,110.51,55.93,563,72
58,Product_0058,Books,187.92,87.03,4333,12
59,Product_0059,Home,335.59,208.68,1100,77
60,Product_0060,Beauty,62.14,27.52,2231,82
61,Product_0061,Sports,304.39,209.13,2162,139
62,Product_0062,Electronics,246.82,188.11,756,172
63,Product_0063,Electronics,214.67,109.63,2732,43
64,Product_0064,Clothing,320.37,161.72,4519,190
65,Product_0065,Home,216.71,87.52,1221,149
66,Product_0066,Beauty,22.83,12.5,3520,42
67,Product_0067,Electronics,25.71,14.03,2931,63
68,Product_0068,Toys,342.62,228.45,4586,114
69,Product_0069,Sports,487.05,340.83,1331,55
70,Product_0070,Toys,441.3,180.9,3372,181
71,Product_0071,Books,432.71,313.41,1304,189
72,Product_0072,Clothing,58.51,43.82,1822,61
73,Product_0073,Books,409.21,239.03,1864,67
74,Product_0074,Toys,16.71,7.97,2282,27
75,Product_0075,Grocery,483.61,247.44,4392,94
76,Product_0076,Books,469.92,209.65,1462,158
77,Product_0077,Home,481.45,243.7,4887,121
78,Product_0078,Grocery,176.12,125.85,4966,140
79,Product_0079,Sports,62.24,47.29,2086,21
80,Product_0080,Sports,355.85,142.58,2983,120
81,Product_0081,Toys,39.64,26.39,2571,179
82,Product_0082,Books,424.77,292.2,4154,89
83,Product_0083,Books,335.11,177.77,4541,42
84,Product_0084,Grocery,99.96,66.57,1425,167
85,Product_0085,Electronics,286.71,161.25,2489,83
86,Product_0086,Toys,109.04,77.89,3809,123
87,Product_0087,Clothing,223.87,108.68,1390,178
88,Product_0088,Toys,46.97,28.47,765,70
89,Product_0089,Sports,338.03,165.59,1207,16
